id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position,season
533330,Christian Salem,Northwestern,1,-4.084,-4.084,,-4.084,WR,2014
532118,Conner McQueen,Texas A&M,1,-2.401,-2.401,,-2.401,QB,2014
506444,Myles McKee,UAB,2,-2.36,-4.72,-4.72,,QB,2014
531319,Andy McAlindon,Louisiana Tech,1,-1.968,-1.968,-1.968,,TE,2014
520118,Brad Kragthorpe,LSU,2,-1.952,-3.904,0.245,-4.149,QB,2014
546679,Blake Feagles,Connecticut,1,-1.865,-1.865,,-1.865,WR,2014
3124514,Jack Spady,Colorado State,2,-1.862,-3.725,-3.725,,WR,2014
533331,Andrew Scanlan,Northwestern,1,-1.782,-1.782,-1.782,,WR,2014
3117250,Daniel Marx,Stanford,3,-1.488,-4.465,,-4.465,FB,2014
536228,Tyler Stewart,Nevada,1,-1.48,-1.48,,-1.48,QB,2014
550809,DeAndre Lane,Maryland,1,-1.243,-1.243,-1.243,,WR,2014
550226,Conner Manning,Utah,7,-1.191,-8.34,-7.623,-0.716,QB,2014
511984,Steven Manfro,UCLA,4,-1.167,-4.667,-1.829,-2.838,RB,2014
513724,Jeff Greene,Ohio State,1,-1.153,-1.153,-1.153,,WR,2014
515861,William Boyd,Arkansas State,1,-1.139,-1.139,-1.139,,WR,2014
545790,Toloa'i Ho Ching,BYU,1,-1.132,-1.132,,-1.132,RB,2014
530290,Mario Edwards Jr.,Florida State,1,-1.13,-1.13,,-1.13,RB,2014
511336,Josh Grady,Vanderbilt,1,-1.108,-1.108,-1.108,,WR,2014
3125473,Marquell Beckwith,Troy,4,-1.082,-4.33,,-4.33,RB,2014
503973,Christian Provancha,Florida,1,-1.074,-1.074,,-1.074,QB,2014
541620,Damon Graham,Indiana,1,-1.05,-1.05,-1.05,,WR,2014
552783,Jaleel Canty,Eastern Michigan,2,-1.027,-2.054,-2.054,,WR,2014
512730,Cole Banham,Minnesota,2,-0.984,-1.969,,-1.969,RB,2014
550180,Dan Monteroso,Purdue,4,-0.953,-3.811,-3.811,,WR,2014
534238,Jason Thompson,Utah,3,-0.92,-2.76,-1.215,-1.544,QB,2014
511688,Russell Bellomy,Michigan,2,-0.916,-1.833,-1.833,,QB,2014
547343,Karson Roberts,Air Force,1,-0.872,-0.872,,-0.872,QB,2014
3121173,Zac Parker,Liberty,1,-0.871,-0.871,,-0.871,WR,2014
548144,Perry Orth,South Carolina,3,-0.848,-2.543,-2.543,,QB,2014
546030,Jack Williams,Kent State,1,-0.842,-0.842,-0.842,,QB,2014
557286,Andrew Spears,Ball State,1,-0.825,-0.825,-0.825,,TE,2014
537609,Gavin Otte,Missouri,2,-0.819,-1.637,-1.637,,WR,2014
530326,Jerome Wright,Virginia Tech,5,-0.776,-3.88,,-3.88,FB,2014
3124865,Jonathan Lytle,Georgia State,5,-0.774,-3.871,,-3.871,FB,2014
3125469,Nyck Young,Troy,4,-0.762,-3.048,-3.048,,WR,2014
535797,Nate Boudreau,Indiana,2,-0.752,-1.504,-1.504,,QB,2014
537013,Alex Goode,Clemson,6,-0.747,-4.481,,-4.481,RB,2014
549939,Ben Grazen,NC State,1,-0.73,-0.73,,-0.73,WR,2014
546354,Reese Phillips,Kentucky,13,-0.726,-9.443,-7.26,-2.183,QB,2014
509992,Ryan Williams,Miami,1,-0.703,-0.703,-0.703,,QB,2014
504285,Connor McLaurin,South Carolina,1,-0.703,-0.703,-0.703,,FB,2014
531476,Jacob Martinez,UTEP,7,-0.697,-4.882,,-4.882,RB,2014
514448,Jeremiah Kobena,Syracuse,2,-0.677,-1.353,-1.353,,WR,2014
547313,Joshua Smith,Liberty,3,-0.67,-2.01,,-2.01,RB,2014
512716,Paul Lang,Michigan State,1,-0.669,-0.669,-0.669,,TE,2014
3127326,Xavier Hawkins,Oregon State,3,-0.669,-2.006,,-2.006,WR,2014
512719,Trevon Pendleton,Michigan State,1,-0.666,-0.666,-0.666,,FB,2014
533326,Mike Panico,Northwestern,4,-0.657,-2.629,,-2.629,RB,2014
552056,Terrell Johnson,Boise State,1,-0.654,-0.654,-0.654,,WR,2014
502746,Ed Fink,Kansas,2,-0.648,-1.296,,-1.296,RB,2014
3126275,Nigel Carter,Tulsa,10,-0.634,-6.338,-6.338,,WR,2014
550592,Dontel James,Fresno State,6,-0.631,-3.789,0.614,-4.403,RB,2014
537600,Taz Zettergren,Ole Miss,1,-0.602,-0.602,-0.602,,TE,2014
531254,Ishmael Adams,UCLA,1,-0.6,-0.6,,-0.6,WR,2014
536465,Jayson Carter,Rice,1,-0.597,-0.597,,-0.597,RB,2014
550756,Marcus Reaves,UAB,8,-0.593,-4.744,,-4.744,RB,2014
3138838,Trey Dye,BYU,4,-0.591,-2.365,-1.271,-1.094,RB,2014
546167,Lonnie Turner,Western Kentucky,1,-0.587,-0.587,-0.587,,WR,2014
550055,Walter Tucker,Miami,2,-0.577,-1.154,0.458,-1.612,RB,2014
3127211,Patrick Laird,California,3,-0.572,-1.717,,-1.717,RB,2014
551185,Pete DiNovo,UCF,11,-0.545,-5.995,-5.467,-0.528,QB,2014
545935,Cameron Thomas,Western Michigan,2,-0.543,-1.086,-1.086,,QB,2014
3116198,Jordan Jurasevich,Purdue,1,-0.542,-0.542,-0.542,,TE,2014
3124097,Tyler Henderson,Wake Forest,3,-0.537,-1.611,,-1.611,RB,2014
505313,David Olson,Clemson,3,-0.536,-1.608,-1.608,,QB,2014
500364,Corvin Lamb,Louisville,5,-0.524,-2.622,,-2.622,RB,2014
3121379,Phillip-Michael Williams,Michigan State,4,-0.518,-2.072,,-2.072,RB,2014
3128414,Darius Durall,SMU,16,-0.514,-8.225,-1.293,-6.931,RB,2014
552639,Todd Stafford,UMass,1,-0.508,-0.508,-0.508,,TE,2014
546415,Max Browne,USC,12,-0.508,-6.101,-3.574,-2.527,QB,2014
546396,Osirius Burke,San José State,3,-0.497,-1.492,,-1.492,RB,2014
513098,Marcus Mason,Washington State,7,-0.493,-3.453,-0.62,-2.832,RB,2014
534592,Andrew Maass,Clemson,1,-0.491,-0.491,-0.491,,WR,2014
517299,Anthony Webb,Baylor,2,-0.466,-0.931,,-0.931,RB,2014
531872,William Woods,Kent State,2,-0.464,-0.928,-0.928,,WR,2014
3124576,Dominique Small,Hawai'i,2,-0.464,-0.928,,-0.928,RB,2014
3122939,Johnathan Vickers,Florida State,1,-0.461,-0.461,,-0.461,TE,2014
535921,Darius Masline,Florida,7,-0.46,-3.22,,-3.22,RB,2014
3139669,Ryheem Malone,SMU,12,-0.46,-5.523,-5.523,,WR,2014
550749,Rowdy Simon,Tulsa,1,-0.455,-0.455,,-0.455,RB,2014
549854,Gus Penning,Baylor,1,-0.453,-0.453,-0.453,,TE,2014
3125869,Steve Nagy,Kent State,1,-0.45,-0.45,-0.45,,FB,2014
517186,Nick Sherry,UNLV,33,-0.447,-14.761,-12.848,-1.912,QB,2014
3122108,Lawrence Lee,Missouri,8,-0.442,-3.54,-3.54,,WR,2014
500420,Adonis Smith,Arizona,3,-0.439,-1.317,,-1.317,RB,2014
546017,Teddy Williamson,Ball State,23,-0.434,-9.993,,-9.993,RB,2014
514152,Joseph Calcagni,Tulsa,23,-0.433,-9.95,-9.086,-0.863,QB,2014
531792,Kyle Sloter,Southern Mississippi,2,-0.431,-0.862,-0.862,,WR,2014
535982,Treston Coleman,UT San Antonio,1,-0.427,-0.427,,-0.427,RB,2014
505357,Zach Nemechek,Kansas State,1,-0.424,-0.424,,-0.424,FB,2014
515580,Kevin Sousa,Wake Forest,6,-0.422,-2.531,-2.188,-0.343,QB,2014
